자치구,안심 주소,CCTV 용도,위도,경도,CCTV 수량,수정 일시
강남구,[대치4-269] (6) 대치동 917-15_2,방범,37.49997,127.05485,1,2022-06-23
강남구,[삼성2-277] (6) 삼성동116-37_1,방범,37.511177,127.052273,1,2022-06-23
강남구,[개포2-236] (2) 선릉로10길 23 (169-8)_1 ,방범,37.48402,127.06165,1,2022-06-23
강남구,[역삼1-489] (4) 역삼로120(833-2)_2,방범,37.49374365,127.0326152,1,2022-06-23
강남구,[삼성2-277] (8) 삼성동116-37_2,방범,37.511177,127.052273,1,2022-06-23
강남구,[개포4-280] (2) 논현로18길10-13(1235-16)_2,방범,37.47712,127.04644,1,2022-06-23
강남구,[삼성2-277] 4 삼성동116-37_,방범,37.511177,127.052273,1,2022-06-23
강남구,[역삼1-489] (6) 역삼로120(833-2)_1,방범,37.49374365,127.0326152,1,2022-06-23
강남구,[논현1-292] (8) 학동로12길 14(124-18)_1,방범,37.51121,127.02547,1,2022-06-23
강남구,[논현1-292] 1 학동로12길 14(124-18)_0,방범,37.51121,127.02547,1,2022-06-23
강남구,[개포2-236] (4) 선릉로10길 23 (169-8)_3 ,방범,37.48402,127.06165,1,2022-06-23
강남구,[역삼1-489] 2 역삼로120(833-2)_0,방범,37.49374365,127.0326152,1,2022-06-23
강남구,[신사-255] (임시철거) 4 압구정로12길 10(532-12)_,방범,37.52336,127.02242,1,2022-06-23
강남구,[삼성2-236] (2) 봉은사로72길15(116-14)_2,방범,37.5112597,127.0511878,1,2022-06-23
강남구,[청담-206] 도산대로78길30(12-24)_,방범,37.5222657,127.0462637,1,2022-06-23
강남구,[신사-255] (임시철거) (6) 압구정로12길 10(532-12)_2,방범,37.52336,127.02242,1,2022-06-23
강남구,[삼성2-236] (6) 봉은사로72길15(116-14)_1,방범,37.5112597,127.0511878,1,2022-06-23
강남구,[역삼2-217] (2) 논현로64길7(776-28)_3,방범,37.4937437,127.0411622,1,2022-06-23
강남구,[삼성2-236] (8) 봉은사로72길15(116-14)_3,방범,37.5112597,127.0511878,1,2022-06-23
강남구,[청담-411] (8) 청담동 49-14 / 도산대로90길18_3,방범,37.52333,127.04886,1,2022-06-23
강남구,[삼성2-236] 3 봉은사로72길15(116-14)_,방범,37.5112597,127.0511878,1,2022-06-23
강남구,[세곡-409] (2) 세곡동 578_3 ,방범,37.467149,127.101649,1,2022-06-23
강남구,[개포2-236] (6) 선릉로10길 23 (169-8)_2 ,방범,37.48402,127.06165,1,2022-06-23
강남구,[역삼2-217] (4) 논현로64길7(776-28)_2,방범,37.4937437,127.0411622,1,2022-06-23
강남구,[삼성2-262] (4) 봉은사로70길 11(115-35)_1 ,방범,37.51127,127.0507,1,2022-06-23
강남구,[세곡-271] (4) 율현동 221-1_1 ,방범,37.47185,127.10889,1,2022-06-23
강남구,[개포4-280] (8) 논현로18길10-13(1235-16)_1,방범,37.47712,127.04644,1,2022-06-23
강남구,[삼성2-262] (8) 봉은사로70길 11(115-35)_2 ,방범,37.51127,127.0507,1,2022-06-23
강남구,[역삼2-217] (6) 논현로64길7(776-28)_4,방범,37.4937437,127.0411622,1,2022-06-23
강남구,[삼성2-262] 2 봉은사로70길 11(115-35)_,방범,37.51127,127.0507,1,2022-06-23
강남구,[청담-411] 3 청담동 49-14 / 도산대로90길18_0,방범,37.52333,127.04886,1,2022-06-23
강남구,[논현1-216] (2) 강남대로128길48(139)_4,방범,37.5112705,127.0256251,1,2022-06-23
강남구,[개포2-236] 3 선릉로10길 23 (169-8)_,방범,37.48402,127.06165,1,2022-06-23
강남구,[역삼2-217] (8) 논현로64길7(776-28)_1,방범,37.4937437,127.0411622,1,2022-06-23
강남구,[압구정-226] (8) 압구정로50길9(661-17) 신사동_4,방범,37.5275342,127.0380932,1,2022-06-23
강남구,[논현1-216] (4) 강남대로128길48(139)_,방범,37.5112705,127.0256251,1,2022-06-23
강남구,[수서-238] (4) 수서역2번출구(201-5)_,방범,37.487663,127.101313,1,2022-06-23
강남구,[논현1-216] (6) 강남대로128길48(139)_,방범,37.5112705,127.0256251,1,2022-06-23
강남구,[역삼2-217] 4 논현로64길7(776-28)_,방범,37.4937437,127.0411622,1,2022-06-23
강남구,[압구정-249] (8) 선릉로 837 (신사동664-8)_2,방범,37.5269405,127.0399817,1,2022-06-23
강남구,[논현1-216] (8) 강남대로128길48(139)_,방범,37.5112705,127.0256251,1,2022-06-23
강남구,[청담-297] 3 도산대로62길 17(19-4)_,방범,37.52229,127.04305,1,2022-06-23
강남구,[청담-251] (8) 청담동134-26_2,방범,37.5223051,127.0570905,1,2022-06-23
강남구,[논현1-216] 4 강남대로128길48(139)_,방범,37.5112705,127.0256251,1,2022-06-23
강남구,[개포4-278] (4) 하천화장실앞(양재천영동3교)_1 ,방범,37.48404,127.05144,1,2022-06-23
강남구,[대치1-228] (4) 남부순환로 2936(507)_1,방범,37.49378,127.06195,1,2022-06-23
강남구,[논현1-225] 논현로123길19(150-5,방범,37.51133,127.02947,1,2022-06-23
강남구,[개포4-280] 2 논현로18길10-13(1235-16)_,방범,37.47712,127.04644,1,2022-06-23
강남구,[논현1-259] (2) 학동로8길 11(124-36)_1,방범,37.51134,127.02429,1,2022-06-23
강남구,[대치1-228] (6) 남부순환로 2936(507)_2,방범,37.49378,127.06195,1,2022-06-23
강남구,[논현1-259] (8) 학동로8길 11(124-36)_2,방범,37.51134,127.02429,1,2022-06-23
강남구,[논현1-259] 2 학동로8길 11(124-36)_,방범,37.51134,127.02429,1,2022-06-23
강남구,[개포4-278] (6) 하천화장실앞(양재천영동3교)_2 ,방범,37.48404,127.05144,1,2022-06-23
강남구,[대치1-228] 2 남부순환로 2936(507)_,방범,37.49378,127.06195,1,2022-06-23
강남구,[대치2-237] (4) 삼성로64길36(986)_2 ,방범,37.5004274,127.0631933,1,2022-06-23
강남구,[삼성2-263] (2) 삼성로107길 11(121-22)_2 ,방범,37.51134,127.05289,1,2022-06-23
강남구,[삼성2-263] (4) 삼성로107길 11(121-22)_3 ,방범,37.51134,127.05289,1,2022-06-23
강남구,[대치1-238] (4) 대치동 604-1_2 ,방범,37.49379,127.06126,1,2022-06-23
강남구,[삼성2-263] (6) 삼성로107길 11(121-22)_1 ,방범,37.51134,127.05289,1,2022-06-23
강남구,[청담-251] (6) 청담동134-26_3,방범,37.5223051,127.0570905,1,2022-06-23
강남구,[수서-238] (8) 수서역2번출구(201-5)_,방범,37.487663,127.101313,1,2022-06-23
강남구,[삼성2-263] (8) 삼성로107길 11(121-22)_4 ,방범,37.51134,127.05289,1,2022-06-23
강남구,[개포4-278] 2 하천화장실앞(양재천영동3교)_0,방범,37.48404,127.05144,1,2022-06-23
강남구,[대치1-238] (6) 대치동 604-1_1 ,방범,37.49379,127.06126,1,2022-06-23
강남구,[삼성2-263] 4 삼성로107길 11(121-22)_0,방범,37.51134,127.05289,1,2022-06-23
강남구,[세곡-271] (6) 율현동 221-1_2 ,방범,37.47185,127.10889,1,2022-06-23
강남구,[개포4-401] (2) 개포동 개포로24길 29_1 ,방범,37.47713,127.04965,1,2022-06-23
강남구,[논현1-416] (2) 강남대로 556(50-1)_2 ,방범,37.51135634,127.0216062,1,2022-06-23
강남구,[대치1-238] 2 대치동 604-1_0,방범,37.49379,127.06126,1,2022-06-23
강남구,[대치2-237] (2) 삼성로64길36(986)_1 ,방범,37.5004274,127.0631933,1,2022-06-23
강남구,[논현1-416] (4) 강남대로 556(50-1)_3 ,방범,37.51135634,127.0216062,1,2022-06-23
강남구,[수서-227] (4) 수서동 722 탄천공원 내_2,방범,37.48811,127.1058,1,2022-06-23
강남구,[논현1-416] (6) 강남대로 556(50-1)_1 ,방범,37.51135634,127.0216062,1,2022-06-23
강남구,[도곡2-241] (2) 논현로26길49(422-9)_4,방범,37.48406,127.04578,1,2022-06-23
강남구,[일원2-215] (2) 개포로617-8(개포동 14-2) 목련_1,방범,37.49382,127.07738,1,2022-06-23
강남구,[논현1-416] (8) 강남대로 556(50-1)_4 ,방범,37.51135634,127.0216062,1,2022-06-23
강남구,[대치2-257] (6) 영동대로57길7(대치동 994-17) 한티_2,방범,37.50004,127.06673,1,2022-06-23
강남구,[논현2-229] 선릉로115길42(264-7)_,방범,37.51136,127.03931,1,2022-06-23
강남구,[일원2-215] (6) 개포로617-8(개포동 14-2) 목련_2,방범,37.49382,127.07738,1,2022-06-23
강남구,[논현2-250] 0 언주로116길27(263-23)_0,방범,37.51138,127.03921,1,2022-06-23
강남구,[대치4-214] 4 대치동 920-8_0,방범,37.5004166,127.0529097,1,2022-06-23
